iter	Passed	Remaining
0	3	353
1	5	282
2	7	249
3	9	226
4	11	215
5	13	217
6	16	214
7	18	216
8	22	230
9	26	239
10	29	240
11	31	231
12	34	228
13	36	223
14	38	218
15	41	215
16	43	211
17	45	207
18	48	205
19	51	204
20	53	201
21	56	200
22	59	197
23	61	195
24	64	193
25	66	190
26	69	187
27	71	183
28	74	181
29	76	178
30	78	175
31	81	173
32	84	170
33	86	167
34	88	164
35	90	161
36	93	158
37	95	155
38	97	153
39	100	150
40	102	147
41	103	142
42	106	140
43	108	138
44	111	136
45	114	134
46	116	131
47	119	129
48	121	126
49	123	123
50	126	121
51	128	118
52	131	116
53	133	113
54	134	110
55	137	107
56	141	106
57	145	105
58	148	102
59	150	100
60	153	97
61	155	95
62	157	92
63	159	89
64	162	87
65	164	84
66	166	82
67	169	79
68	172	77
69	174	74
70	176	72
71	179	69
72	181	67
73	183	64
74	185	61
75	188	59
76	190	56
77	192	54
78	194	51
79	197	49
80	199	46
81	202	44
82	204	41
83	207	39
84	210	37
85	212	34
86	214	32
87	216	29
88	218	27
89	220	24
90	222	22
91	224	19
92	227	17
93	230	14
94	233	12
95	236	9
96	239	7
97	241	4
98	243	2
99	245	0
